crop,state_name,season,nitrogen,phosphorous,potassium,temperature_c,humidity,ph,rainfall_mm,moisture 
Grapes,Madhya Pradesh,Whole Year,26.76,116.37,149.57,10.0,82.82,5.69,94.35,23.64
Jute,Tripura,Kharif,64.15,46.83,36.92,31.4,91.42,6.88,202.41,28.52
Jute,Bihar,Kharif,82.78,82.8,43.69,25.45,83.06,6.6,191.17,30.67
Mango,Karnataka,Whole Year,10.0,26.63,42.33,28.46,60.49,4.53,114.72,19.4
Lentil,Uttarakhand,Rabi,10.0,51.15,37.43,30.29,63.99,7.36,53.17,18.02
Maize,Andhra Pradesh,Rabi,73.48,27.99,38.42,23.6,73.02,5.25,63.49,20.99
Mango,Kerala,Whole Year,34.41,39.39,33.95,26.28,51.79,5.91,97.07,22.05
Coconut,Karnataka,Whole Year,34.79,41.61,39.26,24.53,77.09,5.92,148.28,32.1
Coconut,Karnataka,Whole Year,17.43,14.28,33.02,29.68,89.0,6.74,102.6,21.36
Maize,Madhya Pradesh,Kharif,86.84,38.37,20.24,27.39,72.31,6.59,108.93,19.03
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Blackgram,Tamil Nadu,Kharif,41.54,51.62,23.66,24.1,66.03,6.67,133.56,24.28
Banana,Assam,Whole Year,74.59,101.76,48.75,26.94,91.98,6.01,125.23,28.32
Rice,Andhra Pradesh,Rabi,35.32,45.99,49.46,24.84,69.42,5.69,161.94,30.6
Lentil,Uttarakhand,Rabi,19.52,55.88,19.22,23.88,62.68,6.78,21.11,28.23
Grapes,Karnataka,Whole Year,58.24,120.84,161.85,27.87,88.4,5.98,99.64,29.18
Banana,Assam,Whole Year,111.69,90.14,46.04,31.3,85.63,5.94,119.26,25.95
Blackgram,Nagaland,Rabi,42.59,68.7,26.38,35.69,62.27,6.57,87.66,26.15
Rice,Uttar Pradesh,Kharif,88.44,87.65,49.8,26.43,80.31,5.03,207.19,25.89
Lentil,Nagaland,Rabi,17.29,55.18,28.22,23.29,76.61,6.58,62.79,19.62
Blackgram,Karnataka,Kharif,28.84,46.13,30.23,40.0,70.93,6.53,93.78,17.78
Coffee,Kerala,Whole Year,71.09,38.75,41.56,28.6,68.22,6.84,227.55,17.2
Mango,Madhya Pradesh,Whole Year,51.66,38.31,34.57,23.45,61.4,4.5,91.11,22.2
Coconut,Kerala,Whole Year,44.44,21.15,29.0,29.52,96.69,6.09,107.83,28.71
Grapes,Telangana ,Whole Year,31.66,109.69,167.0,23.73,89.0,5.51,86.26,26.63
Maize,Punjab,Kharif,57.53,65.37,26.0,18.93,84.17,7.1,139.47,17.35
Coffee,Kerala,Whole Year,82.84,27.08,44.8,22.16,72.21,7.06,132.8,25.98
Jute,Assam,Kharif,95.59,51.14,48.13,25.23,76.67,7.54,168.71,37.23
Jute,West Bengal,Kharif,68.29,45.08,48.83,22.29,98.0,6.95,159.85,36.92
Jute,Tripura,Kharif,73.38,44.69,36.29,26.73,77.81,6.11,146.72,27.46
Grapes,Madhya Pradesh,Whole Year,33.71,123.42,168.84,18.66,87.99,6.13,93.64,21.59
Banana,Meghalaya,Whole Year,91.02,62.37,50.11,28.05,83.54,6.4,131.74,31.01
Coconut,Puducherry,Whole Year,34.82,18.25,33.78,29.35,93.07,6.55,153.05,30.97
Apple,Tamil Nadu,Whole Year,10.0,116.93,169.06,23.32,87.51,6.0,105.0,30.24
Jute,Nagaland,Kharif,58.1,51.52,47.32,26.85,91.19,6.31,181.15,25.27
Mango,Puducherry,Kharif,44.41,26.82,43.24,33.31,65.55,5.51,100.94,27.61
Grapes,Andhra Pradesh,Kharif,10.0,121.93,165.26,10.0,85.72,5.76,118.84,23.34
Grapes,Karnataka,Whole Year,46.97,105.23,164.69,12.6,77.48,7.13,106.99,24.91
Banana,Assam,Whole Year,53.67,101.72,54.86,29.75,91.42,5.96,129.37,23.44
Coffee,Kerala,Whole Year,71.09,38.75,41.56,28.6,68.22,6.84,227.55,17.2
Jute,Bihar,Kharif,53.84,71.59,53.46,23.59,95.27,7.36,207.17,35.54
Papaya,Karnataka,Whole Year,81.94,50.43,59.62,36.69,97.8,6.07,86.28,28.05
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Lentil,Uttarakhand,Rabi,10.0,51.15,37.43,30.29,63.99,7.36,53.17,18.02
Blackgram,Tamil Nadu,Kharif,31.36,44.68,36.78,37.23,81.01,5.35,95.13,31.06
Grapes,Andhra Pradesh,Whole Year,15.74,135.69,168.64,18.28,81.59,5.71,94.41,29.04
Maize,Uttarakhand,Kharif,68.35,35.11,20.41,16.02,60.08,5.77,126.57,23.79
Mango,Karnataka,Whole Year,25.43,31.29,47.78,34.13,62.57,4.8,129.03,10.0
Blackgram,Maharashtra,Kharif,45.6,45.27,24.41,25.02,76.47,7.84,120.2,30.01
Banana,Assam,Whole Year,111.03,84.64,50.83,29.47,84.72,7.06,106.71,22.02
Lentil,Uttarakhand,Rabi,46.03,68.65,19.27,25.4,79.81,6.56,27.73,16.63
Grapes,Andhra Pradesh,Kharif,43.12,106.68,167.13,12.6,86.9,5.64,115.61,29.31
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Maize,Karnataka,Summer,99.81,42.4,19.96,29.68,73.33,5.47,102.19,17.79
Jute,Assam,Kharif,74.95,45.86,37.63,24.12,79.54,6.03,257.55,34.04
Grapes,Tamil Nadu,Whole Year,18.75,115.6,153.39,40.0,88.71,6.43,87.76,24.59
Orange,Assam,Kharif,46.74,40.8,22.79,30.77,87.64,7.55,116.43,27.32
Maize,Maharashtra,Summer,62.86,49.99,40.54,29.14,82.14,5.98,30.37,25.74
Banana,Andhra Pradesh,Whole Year,110.54,83.82,64.55,24.99,77.41,5.88,142.21,24.47
Maize,Andhra Pradesh,Rabi,97.15,64.55,32.18,17.62,61.18,6.28,154.43,29.96
Maize,Uttar Pradesh,Rabi,65.89,55.12,30.17,13.6,59.2,6.07,120.6,21.32
Blackgram,Karnataka,Kharif,33.9,73.53,29.03,27.89,63.89,6.46,94.87,30.68
Lentil,Nagaland,Rabi,14.38,41.52,26.59,24.26,71.41,5.62,55.14,22.27
Lentil,Uttarakhand,Rabi,36.21,62.74,27.99,24.4,69.27,5.96,54.99,21.0
Orange,Assam,Kharif,42.5,21.04,32.81,24.66,88.8,7.36,136.54,35.38
Coconut,Karnataka,Whole Year,37.27,48.28,40.22,28.98,96.82,5.61,118.5,25.95
Banana,Karnataka,Whole Year,105.13,46.59,46.21,29.16,89.8,6.25,129.33,30.66
Mango,Haryana,Whole Year,16.74,17.6,35.45,18.78,59.3,6.94,137.31,27.15
Banana,Tamil Nadu,Whole Year,63.31,60.04,55.57,26.56,83.47,5.15,104.74,24.22
Grapes,Karnataka,Whole Year,26.71,111.74,175.78,38.29,89.66,6.25,70.59,18.14
Papaya,Meghalaya,Whole Year,65.67,57.13,44.07,26.41,79.55,7.16,114.99,23.66
Banana,Telangana ,Whole Year,90.17,71.04,54.03,29.41,74.8,5.74,123.72,21.46
Coconut,Andhra Pradesh,Whole Year,34.38,31.38,42.05,28.72,88.26,6.24,225.21,37.65
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Grapes,Tamil Nadu,Whole Year,10.0,100.94,155.49,33.7,88.11,5.81,120.36,28.29
Coconut,Kerala,Whole Year,10.0,26.3,28.93,26.44,88.42,6.11,200.47,29.69
Coffee,Kerala,Whole Year,82.84,27.08,44.8,22.16,72.21,7.06,132.8,25.98
Banana,Assam,Whole Year,111.57,79.47,51.9,24.5,85.4,6.44,77.08,26.59
Maize,Maharashtra,Kharif,91.78,58.28,26.07,24.81,82.15,6.03,108.92,30.99
Rice,Odisha,Winter,75.02,62.11,43.78,22.91,80.57,5.15,138.94,25.37
Rice,Bihar,Autumn,99.2,48.24,44.85,20.8,80.72,8.5,196.67,35.51
Rice,Mizoram,Kharif,64.1,57.49,43.48,22.11,86.05,6.32,228.67,25.09
Papaya,Chhattisgarh,Whole Year,43.73,59.26,52.57,34.63,82.53,6.6,137.48,33.65
Blackgram,Uttar Pradesh,Kharif,48.95,46.95,32.78,25.43,74.3,7.02,120.45,20.86
Banana,Bihar,Whole Year,69.44,89.26,40.93,25.82,74.85,6.22,142.76,23.29
Blackgram,Bihar,Kharif,63.23,66.57,20.63,20.96,77.37,7.22,82.02,27.18
Rice,West Bengal,Summer,98.45,54.47,36.83,33.07,75.46,7.38,246.32,35.63
Mango,Karnataka,Whole Year,47.78,49.66,46.26,34.49,56.94,7.19,96.8,24.59
Blackgram,Chhattisgarh,Kharif,30.43,65.44,44.29,29.36,72.47,7.62,127.42,21.68
Coffee,Kerala,Whole Year,71.09,38.75,41.56,28.6,68.22,6.84,227.55,17.2
Maize,Telangana ,Kharif,76.41,77.6,29.59,29.29,72.42,6.63,129.25,29.47
Lentil,Uttarakhand,Rabi,54.87,64.1,19.43,19.6,66.33,6.91,59.63,23.94
Coffee,Kerala,Whole Year,83.93,35.05,34.21,21.64,78.62,7.14,156.55,18.98
Coconut,Kerala,Whole Year,27.51,36.09,37.35,26.8,85.72,5.58,156.93,30.41
Blackgram,Assam,Rabi,21.37,57.93,35.42,31.93,64.94,7.61,81.12,17.52
Mango,Tamil Nadu,Whole Year,28.11,18.8,34.19,29.8,59.32,6.39,101.11,13.57
Grapes,Karnataka,Whole Year,41.85,97.62,162.55,36.67,87.87,6.06,94.3,25.98
Jute,West Bengal,Kharif,58.59,59.36,45.34,28.99,82.3,6.42,214.07,28.87
Grapes,Madhya Pradesh,Whole Year,26.76,116.37,149.57,10.0,82.82,5.69,94.35,23.64
Maize,Madhya Pradesh,Whole Year,48.93,40.29,25.58,20.31,51.61,6.27,72.16,21.46
Jute,West Bengal,Kharif,67.57,42.38,54.45,21.74,68.68,5.97,171.64,31.05
Blackgram,Assam,Rabi,63.8,59.21,36.18,22.43,58.32,7.43,39.9,13.22
Coffee,Kerala,Whole Year,83.93,35.05,34.21,21.64,78.62,7.14,156.55,18.98
Mango,Telangana ,Whole Year,10.0,33.83,24.86,34.21,60.02,6.62,99.74,24.17
Coffee,Kerala,Whole Year,83.93,35.05,34.21,21.64,78.62,7.14,156.55,18.98
Apple,Tamil Nadu,Whole Year,10.0,116.93,169.06,23.32,87.51,6.0,105.0,30.24
Grapes,Karnataka,Whole Year,16.53,131.37,175.75,40.0,86.54,5.48,114.51,26.76
Papaya,Madhya Pradesh,Whole Year,80.34,47.23,46.89,20.11,87.19,6.7,198.17,39.93
Jute,Tripura,Kharif,82.06,67.36,34.9,28.12,88.72,6.82,216.2,32.9
Lentil,Uttarakhand,Rabi,54.87,64.1,19.43,19.6,66.33,6.91,59.63,23.94
Apple,Tamil Nadu,Whole Year,26.14,133.63,168.63,28.27,94.56,6.41,104.04,30.49
Rice,Uttar Pradesh,Kharif,63.57,46.8,39.06,22.22,85.92,6.9,300.0,26.59
Maize,Punjab,Kharif,81.15,66.66,42.03,30.76,78.47,6.31,113.91,22.72
Rice,Uttar Pradesh,Kharif,38.91,68.18,43.75,22.07,91.26,5.76,281.57,32.64
Coconut,West Bengal,Whole Year,49.81,13.84,44.79,28.25,98.0,5.59,218.66,31.62
Coconut,Kerala,Whole Year,10.0,27.41,20.24,27.85,97.83,5.89,102.51,27.57
Maize,Tamil Nadu,Kharif,89.95,38.42,24.67,22.0,62.02,6.53,112.18,23.63
Coconut,Tamil Nadu,Whole Year,28.9,23.87,46.85,30.64,88.33,6.33,237.4,24.77
Rice,Nagaland,Kharif,76.55,45.03,32.65,33.33,85.84,5.61,196.75,26.53
Blackgram,Uttar Pradesh,Summer,27.7,61.88,30.99,35.87,66.22,6.26,45.03,22.13
Mango,Kerala,Whole Year,10.0,55.81,22.99,28.08,61.0,6.62,118.83,23.71
Lentil,Nagaland,Rabi,23.14,64.91,22.19,22.74,69.75,6.19,37.99,26.98
Blackgram,Uttar Pradesh,Kharif,60.32,78.15,25.54,28.63,76.43,7.29,125.48,19.39
Coffee,Kerala,Whole Year,113.51,21.19,44.22,25.91,83.59,7.77,140.58,33.81
Maize,Uttar Pradesh,Kharif,80.47,55.03,31.07,22.44,66.03,6.9,93.89,20.69
Orange,Assam,Kharif,27.55,25.81,23.39,28.05,86.13,6.94,146.58,29.5
Grapes,Madhya Pradesh,Whole Year,48.54,105.69,168.17,40.0,81.92,6.27,102.67,23.53
Rice,Uttarakhand,Kharif,93.26,65.42,40.31,23.86,89.78,8.4,175.95,35.06
Blackgram,Karnataka,Kharif,50.7,83.52,29.3,24.91,61.51,7.43,133.78,21.68
Lentil,Nagaland,Rabi,11.29,70.23,31.88,26.6,61.73,7.17,79.46,12.32
Rice,Himachal Pradesh,Kharif,109.29,62.65,43.94,26.68,85.06,5.98,260.78,26.16
Coconut,West Bengal,Whole Year,18.92,24.39,33.56,25.95,94.71,5.54,190.98,24.99
Grapes,Madhya Pradesh,Whole Year,10.0,117.44,158.07,21.22,81.87,5.23,119.09,29.32
Jute,West Bengal,Kharif,105.21,31.76,50.7,24.66,88.08,6.47,215.68,28.25
Jute,Nagaland,Kharif,42.36,33.09,50.37,29.01,79.03,6.66,212.41,32.76
Papaya,Assam,Kharif,43.37,72.83,51.22,36.4,90.89,6.75,205.27,33.9
Jute,Assam,Kharif,116.48,52.3,43.99,22.69,75.87,7.64,206.98,22.44
Grapes,Tamil Nadu,Whole Year,22.83,103.72,167.23,10.0,77.44,6.44,84.59,26.78
Apple,Tamil Nadu,Whole Year,10.0,116.93,169.06,23.32,87.51,6.0,105.0,30.24
Coconut,Karnataka,Whole Year,36.86,69.41,43.2,27.03,88.62,6.59,181.69,26.15
Coconut,Assam,Whole Year,54.15,25.21,31.01,33.02,93.35,6.26,157.22,39.0
Maize,Rajasthan,Kharif,82.81,59.46,17.46,27.93,61.15,7.84,109.89,17.6
Coconut,Kerala,Whole Year,14.32,38.41,28.54,28.78,87.93,5.39,137.12,27.37
Blackgram,West Bengal,Kharif,53.23,96.53,18.31,31.49,77.96,7.33,103.31,21.33
Maize,Jammu and Kashmir ,Kharif,109.43,44.11,19.7,24.98,62.21,7.09,66.11,24.62
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Mango,Madhya Pradesh,Whole Year,44.31,19.51,28.46,30.0,63.41,6.49,107.48,21.65
Lentil,Nagaland,Rabi,40.35,67.53,31.53,20.16,65.96,8.07,28.95,13.9
Apple,Tamil Nadu,Whole Year,35.71,102.26,171.16,23.43,87.3,5.68,143.25,22.13
Papaya,Assam,Whole Year,56.34,65.98,44.33,37.81,96.22,6.84,300.0,39.07
Coffee,Kerala,Whole Year,83.93,35.05,34.21,21.64,78.62,7.14,156.55,18.98
Blackgram,Assam,Rabi,19.71,71.29,27.85,23.86,56.08,6.95,59.52,22.99
Blackgram,Odisha,Winter,13.21,79.71,23.09,30.67,69.17,6.22,76.48,20.1
Mango,Madhya Pradesh,Whole Year,31.28,32.82,25.97,33.21,55.71,6.25,133.09,21.05
Papaya,Tamil Nadu,Whole Year,65.82,48.37,48.53,28.68,85.72,7.04,65.6,22.18
Rice,Meghalaya,Winter,66.43,58.18,49.03,24.74,87.89,8.12,298.05,28.43
Grapes,Telangana ,Whole Year,42.53,125.86,156.15,10.0,74.0,5.85,88.9,22.71
Banana,Tamil Nadu,Kharif,67.28,69.29,60.27,27.75,80.51,6.24,91.9,25.77
Coffee,Kerala,Whole Year,62.65,50.32,45.52,27.3,66.51,6.25,168.29,26.58
Maize,Sikkim,Kharif,55.0,71.34,21.95,35.59,72.55,6.77,128.05,27.99
Blackgram,Telangana ,Rabi,56.8,55.6,22.99,30.57,74.96,8.26,62.46,23.91
Coconut,Kerala,Whole Year,14.41,34.37,28.16,29.14,85.79,5.64,283.55,37.37
Banana,Madhya Pradesh,Whole Year,84.48,84.59,54.27,27.49,87.78,5.69,113.97,26.96
Papaya,Rajasthan,Whole Year,43.4,63.79,51.07,30.07,94.61,6.78,195.88,34.62
Lentil,Uttarakhand,Rabi,25.42,62.88,27.26,19.51,63.8,7.72,57.24,11.23
Banana,Meghalaya,Whole Year,110.5,75.55,51.3,24.24,80.35,6.64,64.9,20.21
Rice,Jammu and Kashmir ,Kharif,90.73,42.14,41.9,22.14,93.91,5.26,300.0,38.21
Jute,Assam,Kharif,76.14,44.88,56.2,27.71,79.57,6.71,205.95,32.74
Banana,Meghalaya,Kharif,99.74,73.73,53.21,29.37,82.98,7.1,145.45,42.29
Banana,Madhya Pradesh,Whole Year,77.32,72.38,60.99,28.33,76.6,6.23,58.66,19.18
Jute,Assam,Kharif,63.06,71.37,42.43,22.04,75.7,7.9,181.31,19.9
Rice,Rajasthan,Kharif,36.65,30.4,29.81,28.81,81.19,4.58,280.46,32.36
Blackgram,Tamil Nadu,Whole Year,35.16,73.82,22.37,33.19,75.3,7.28,119.03,24.73
Mango,Maharashtra,Whole Year,39.04,30.95,27.94,40.0,60.67,6.2,136.33,24.63
Coconut,West Bengal,Whole Year,10.0,5.91,47.88,28.1,86.16,5.1,191.37,22.56
Orange,Assam,Kharif,22.2,40.49,6.01,30.42,98.0,7.87,138.5,34.14
Orange,Assam,Kharif,10.0,52.62,19.27,27.19,96.11,8.21,139.64,36.26
Apple,Tamil Nadu,Whole Year,35.71,102.26,171.16,23.43,87.3,5.68,143.25,22.13
Jute,Bihar,Kharif,50.24,54.49,50.35,27.76,85.39,7.37,215.77,27.46
Maize,West Bengal,Autumn,65.29,72.83,19.95,25.84,66.0,6.16,82.96,25.19
Blackgram,Bihar,Kharif,23.1,56.66,33.3,24.12,80.81,7.4,133.51,25.34
Orange,Andhra Pradesh,Whole Year,49.49,20.82,23.51,31.95,91.02,6.56,94.29,28.98
Rice,Karnataka,Rabi,84.03,40.95,45.52,15.6,79.64,4.5,295.64,39.09
Blackgram,Madhya Pradesh,Kharif,27.06,81.77,39.07,33.01,81.57,7.35,109.97,29.59
Blackgram,Odisha,Summer,10.0,54.81,22.21,31.26,57.48,6.86,40.67,18.65
Jute,Meghalaya,Kharif,51.89,52.49,43.91,27.88,72.64,7.54,148.76,25.81
Blackgram,Odisha,Summer,35.26,77.23,37.3,26.7,57.65,6.18,58.96,21.62
Papaya,Meghalaya,Whole Year,65.67,57.13,44.07,26.41,79.55,7.16,114.99,23.66
Coconut,Karnataka,Whole Year,39.46,5.0,49.06,30.86,98.0,5.4,136.39,31.34
Orange,Assam,Kharif,10.0,34.17,36.38,21.35,92.49,6.72,122.25,24.9
Maize,Bihar,Rabi,44.48,63.59,35.53,26.77,71.46,5.85,86.73,20.38
Rice,Haryana,Kharif,85.52,56.51,43.89,26.7,87.55,4.54,244.23,40.01
Blackgram,Maharashtra,Kharif,37.26,75.31,23.31,30.91,68.58,7.02,121.41,27.56
Orange,Assam,Kharif,10.0,11.37,30.05,10.0,91.64,7.19,130.51,28.6
Blackgram,Uttar Pradesh,Summer,45.78,64.07,23.58,31.86,56.28,6.94,54.43,16.78
Coconut,Andhra Pradesh,Whole Year,45.16,39.33,45.66,26.26,83.17,6.12,170.03,22.55
Lentil,Nagaland,Rabi,24.73,54.71,17.19,22.33,67.19,6.86,47.9,23.7
Jute,Odisha,Autumn,88.95,74.59,42.64,26.81,68.37,5.0,170.22,32.79
Maize,West Bengal,Kharif,121.96,33.17,31.38,25.79,62.41,6.3,154.9,20.02
Maize,West Bengal,Autumn,73.84,42.2,23.19,30.07,61.72,6.06,48.46,17.88
Mango,Kerala,Whole Year,44.81,34.49,35.12,35.06,55.42,6.78,101.05,12.89
Orange,Assam,Kharif,61.62,15.58,24.43,29.44,95.15,6.37,176.43,35.24
Papaya,Madhya Pradesh,Whole Year,40.12,75.61,59.89,38.37,82.8,6.92,262.99,41.05
Orange,Tamil Nadu,Whole Year,10.0,32.17,17.37,40.0,92.08,8.18,129.31,28.3
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Banana,Chhattisgarh,Whole Year,122.72,67.75,49.78,22.57,91.16,5.89,112.4,26.01
Coffee,Kerala,Whole Year,62.65,50.32,45.52,27.3,66.51,6.25,168.29,26.58
Blackgram,Madhya Pradesh,Kharif,39.9,95.27,22.85,39.06,66.15,6.54,116.8,21.11
Blackgram,Odisha,Kharif,58.97,65.2,26.92,31.85,61.96,7.63,67.82,23.05
Jute,Assam,Kharif,79.11,48.63,51.28,25.88,92.22,6.87,222.02,33.04
Coconut,Telangana ,Whole Year,32.35,16.44,42.07,25.01,88.8,6.95,192.46,26.06
Orange,Assam,Kharif,15.44,23.48,27.97,12.39,90.22,7.74,137.83,30.37
Coffee,Kerala,Whole Year,71.09,38.75,41.56,28.6,68.22,6.84,227.55,17.2
Banana,Tamil Nadu,Whole Year,98.56,66.98,58.77,25.97,74.88,5.85,112.61,27.61
Blackgram,Assam,Rabi,78.77,71.32,21.02,25.8,54.16,7.03,68.16,21.3
Coconut,Karnataka,Whole Year,15.73,26.25,29.44,27.41,84.23,6.75,124.83,24.7
Coconut,Tamil Nadu,Whole Year,22.81,38.98,31.18,24.39,86.63,6.4,174.79,35.28
Grapes,Andhra Pradesh,Kharif,43.12,106.68,167.13,12.6,86.9,5.64,115.61,29.31
Maize,Odisha,Winter,56.07,31.52,32.72,19.21,72.33,6.13,80.6,24.58
Coconut,Karnataka,Whole Year,10.0,30.79,43.63,23.46,94.5,6.01,147.81,31.56
Maize,Rajasthan,Kharif,97.22,50.56,34.13,31.04,91.88,6.99,95.51,28.96
Banana,Uttar Pradesh,Whole Year,91.51,85.63,43.42,26.99,86.37,5.88,106.53,27.02
Blackgram,Uttar Pradesh,Kharif,33.58,75.88,32.97,35.68,74.71,7.04,122.09,25.28
Jute,Bihar,Kharif,88.03,41.0,52.64,27.28,78.49,6.92,197.01,21.6
Banana,Telangana ,Whole Year,59.56,81.93,53.32,28.76,85.25,4.83,94.42,21.08
Apple,Tamil Nadu,Whole Year,10.0,116.93,169.06,23.32,87.51,6.0,105.0,30.24
Rice,Bihar,Autumn,48.41,39.32,48.29,24.74,85.48,5.89,154.28,29.12
Rice,Maharashtra,Kharif,90.08,51.74,37.66,16.9,90.01,8.13,245.88,26.25
Blackgram,West Bengal,Kharif,31.85,59.81,28.93,35.5,72.45,6.87,105.56,26.17
Banana,Assam,Whole Year,71.92,106.41,57.38,26.89,84.65,6.18,98.12,31.04
Jute,Assam,Kharif,76.95,44.32,46.01,30.65,83.59,6.79,159.48,17.51
Apple,Tamil Nadu,Whole Year,10.0,111.74,174.13,27.76,91.02,5.54,139.58,28.26
Orange,Assam,Kharif,15.44,23.48,27.97,12.39,90.22,7.74,137.83,30.37
Banana,Karnataka,Whole Year,99.27,84.73,51.5,23.58,77.05,7.14,87.08,19.5
Coconut,Assam,Whole Year,10.0,36.47,31.54,23.42,88.55,6.3,155.35,28.43
Jute,Bihar,Kharif,47.57,40.51,36.45,26.35,75.23,5.87,197.76,31.87
Banana,Tamil Nadu,Whole Year,87.71,73.34,53.96,23.1,86.1,5.52,105.25,30.07
Coconut,Karnataka,Whole Year,22.2,30.9,29.74,28.06,98.0,5.98,252.88,33.39
Lentil,Nagaland,Rabi,11.29,70.23,31.88,26.6,61.73,7.17,79.46,12.32
Grapes,Tamil Nadu,Whole Year,25.77,121.76,177.15,40.0,84.38,6.6,65.19,29.1
Jute,Assam,Kharif,93.7,69.12,44.9,27.69,86.73,7.01,170.25,25.78
Maize,Bihar,Kharif,66.1,61.5,31.69,31.57,68.65,5.91,116.73,27.67
Banana,Assam,Whole Year,97.41,66.21,40.42,26.59,82.78,4.89,125.58,30.58
Coconut,Kerala,Whole Year,46.9,24.4,25.19,27.33,94.32,6.2,152.51,33.7
Coffee,Kerala,Whole Year,84.8,31.85,45.51,28.26,45.4,6.4,286.04,29.18
Grapes,Rajasthan,Whole Year,65.82,117.89,155.74,29.61,78.56,5.47,87.43,19.11
Banana,Karnataka,Whole Year,121.12,69.4,41.08,30.07,83.84,5.84,91.49,26.44
Rice,Uttar Pradesh,Kharif,41.72,65.88,34.39,24.37,93.37,6.73,258.48,40.41
Banana,Assam,Whole Year,76.42,76.15,52.07,29.58,80.32,5.87,137.23,26.79
Papaya,Kerala,Whole Year,44.75,54.29,43.55,27.65,91.66,6.69,146.91,40.21
Maize,Rajasthan,Kharif,47.83,66.45,19.85,30.92,64.2,6.98,147.38,22.65
Coffee,Kerala,Whole Year,84.8,31.85,45.51,28.26,45.4,6.4,286.04,29.18
Papaya,Madhya Pradesh,Whole Year,57.84,72.41,57.16,28.99,96.6,6.57,32.84,20.32
Jute,Meghalaya,Kharif,81.15,51.44,46.67,23.02,98.0,6.25,215.22,32.12
Lentil,Nagaland,Rabi,24.94,75.82,18.15,17.56,72.48,7.14,20.0,24.42
Banana,Chhattisgarh,Whole Year,121.86,65.68,42.48,30.55,82.47,6.66,82.88,19.95
Coconut,Andaman and Nicobar Islands,Whole Year,10.0,5.0,35.7,30.42,85.97,6.05,228.0,38.14
Lentil,Uttarakhand,Rabi,10.0,73.67,29.65,29.04,57.59,6.72,22.33,13.84
Blackgram,Odisha,Winter,75.02,78.72,37.32,22.12,64.92,7.36,42.83,16.13
Grapes,Andhra Pradesh,Whole Year,19.04,109.56,168.57,40.0,79.29,6.81,97.3,26.0
Apple,Tamil Nadu,Whole Year,35.71,102.26,171.16,23.43,87.3,5.68,143.25,22.13
Maize,Jammu and Kashmir ,Kharif,87.32,83.46,22.39,24.15,80.52,6.95,111.79,20.69
Coffee,Kerala,Whole Year,83.93,35.05,34.21,21.64,78.62,7.14,156.55,18.98
Blackgram,Odisha,Winter,25.3,67.1,36.53,32.58,76.41,6.81,60.52,19.91
Maize,West Bengal,Autumn,68.92,73.47,22.76,22.13,63.49,5.6,91.96,23.67
Blackgram,Uttar Pradesh,Summer,48.52,55.53,27.47,21.6,73.6,8.41,54.96,26.41
Papaya,Assam,Kharif,35.53,40.11,45.3,27.94,87.82,6.04,181.32,30.61
Orange,Tamil Nadu,Whole Year,40.31,13.81,22.37,10.0,95.48,6.0,111.05,32.33
Rice,Madhya Pradesh,Whole Year,80.82,53.02,52.69,22.16,85.46,7.93,289.17,31.03
Lentil,Nagaland,Rabi,42.9,69.49,21.49,18.91,68.76,7.81,22.92,19.61
Rice,Uttar Pradesh,Kharif,81.59,60.92,39.18,24.03,91.03,7.1,211.28,29.77
Coconut,Assam,Whole Year,10.0,8.43,30.72,27.7,81.41,6.21,137.08,30.27
Maize,Telangana ,Rabi,84.36,54.81,26.53,23.02,66.13,5.08,89.34,16.46
Jute,Assam,Kharif,95.71,40.18,53.21,30.46,76.83,6.57,218.19,29.31
Coconut,Tamil Nadu,Whole Year,16.63,30.08,31.92,25.98,85.4,6.62,186.28,32.68
Lentil,Uttarakhand,Rabi,10.0,51.15,37.43,30.29,63.99,7.36,53.17,18.02
Maize,Tripura,Kharif,72.9,68.81,19.51,22.03,58.9,6.63,76.8,20.31
Coffee,Kerala,Whole Year,113.51,21.19,44.22,25.91,83.59,7.77,140.58,33.81
Papaya,Telangana ,Whole Year,41.95,56.53,45.34,40.0,98.0,6.36,168.16,37.93
Maize,Bihar,Summer,49.62,55.36,30.8,28.21,83.61,6.38,51.58,21.13
Maize,Odisha,Kharif,76.25,60.82,30.38,28.05,77.56,5.58,104.4,19.76
Blackgram,Tamil Nadu,Kharif,54.1,60.61,28.99,26.0,74.3,8.02,115.1,23.25
Banana,Assam,Whole Year,94.49,74.45,43.23,30.0,85.02,6.47,135.54,32.06
Orange,Assam,Whole Year,66.05,34.24,24.16,10.0,80.01,7.0,100.8,28.08
